Age,F,M
0-4,"1,078,730","1,283,789"
5-9,"1,126,932","1,371,825"
10-14,"1,194,542","1,474,136"
15-19,"1,189,842","1,487,548"
20-24,"1,194,687","1,372,799"
25-29,"1,053,619","1,178,340"
30-34,"916,747","976,844"
35-39,"849,146","912,717"
40-44,"715,369","790,581"
45-49,"586,065","655,749"
50-54,"454,540","510,688"
55-59,"376,729","374,209"
60-64,"430,391","413,958"
65-69,"249,169","255,270"
70-74,"185,857","188,304"
75-79,"98,525","97,692"
80-84,"78,600","73,795"
85-89,"30,398","30,097"
90-94,"19,175","17,683"
95-99,"7,466","6,845"
100+,"5,553","4,977"
